,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
13,alpha_1.5_temp_0.5,1.5,0.5,43,1300,1.2908876,1.5343113,1,1.770690441,0.859854825,0.436517068,0.526226344
14,alpha_1.5_temp_0.5,1.5,0.5,43,1400,1.2744063,1.5212363,1,1.755717435,0.85791228,0.428624402,0.521011838
15,alpha_1.5_temp_0.5,1.5,0.5,43,1500,1.252033,1.5161015,1,1.787814078,0.856767239,0.441999389,0.524552988
16,alpha_1.5_temp_0.5,1.5,0.5,43,1600,1.2417852,1.5157336,1,1.74879856,0.857730215,0.429321708,0.518500593
17,alpha_1.5_temp_0.5,1.5,0.5,43,1700,1.2259221,1.506489,1,1.78098441,0.855614501,0.436099669,0.524269378
18,alpha_1.5_temp_0.5,1.5,0.5,43,1800,1.2111312,1.499253,1,1.779002384,0.853825879,0.43674801,0.517244146
19,alpha_1.5_temp_0.5,1.5,0.5,43,1900,1.1984644,1.4975715,1,1.750571729,0.85383149,0.431970516,0.518426937
20,alpha_1.5_temp_0.5,1.5,0.5,43,2000,1.1868535,1.5067712,1,1.759421015,0.852932943,0.430123338,0.517564573
21,alpha_1.5_temp_0.5,1.5,0.5,43,2100,1.1739786,1.4982729,1,1.762765075,0.852903223,0.433350056,0.515844212
22,alpha_1.5_temp_0.5,1.5,0.5,43,2200,1.1620585,1.4995898,1,1.757520986,0.853210395,0.429944303,0.508369743
23,alpha_1.5_temp_0.5,1.5,0.5,43,2300,1.1508328,1.4934216,1,1.757031276,0.853014868,0.432794218,0.510895989
24,alpha_1.5_temp_0.5,1.5,0.5,43,2400,1.137562,1.4973491,1,1.735389666,0.852143493,0.424476775,0.509522728
25,alpha_1.5_temp_0.5,1.5,0.5,43,2500,1.1307434,1.4951943,1,1.755703459,0.851575909,0.432677157,0.508960722
26,alpha_1.5_temp_0.5,1.5,0.5,43,2600,1.1193197,1.5014765,1,1.75228844,0.851421503,0.430855993,0.503853045
27,alpha_1.5_temp_0.5,1.5,0.5,43,2700,1.1072234,1.5045755,1,1.747116302,0.850267073,0.428126419,0.504614283
28,alpha_1.5_temp_0.5,1.5,0.5,43,2800,1.0964308,1.502248,1,1.751326555,0.851741544,0.432952302,0.512884591
29,alpha_1.5_temp_0.5,1.5,0.5,43,2900,1.0893694,1.5042422,1,1.743311648,0.851758368,0.431273809,0.502355303
30,alpha_1.5_temp_0.5,1.5,0.5,43,3000,1.0764041,1.5056704,1,1.754301009,0.851093572,0.434005256,0.503317141
31,alpha_1.5_temp_0.5,1.5,0.5,43,3100,1.0660493,1.5133775,1,1.740458157,0.850248953,0.429444382,0.502774646
32,alpha_1.5_temp_0.5,1.5,0.5,43,3200,1.0536147,1.5200489,1,1.751051215,0.85003156,0.432400291,0.496187707
33,alpha_1.5_temp_0.5,1.5,0.5,43,3300,1.0464984,1.518312,1,1.759446056,0.850610785,0.434571756,0.503985939
34,alpha_1.5_temp_0.5,1.5,0.5,43,3400,1.035853,1.522606,1,1.75606149,0.850199771,0.431269743,0.501592343
35,alpha_1.5_temp_0.5,1.5,0.5,43,3500,1.0277624,1.5251018,1,1.760385584,0.848869602,0.434161079,0.493434013
36,alpha_1.5_temp_0.5,1.5,0.5,43,3600,1.015015,1.5230604,1,1.745486748,0.849956407,0.429164183,0.48999912
37,alpha_1.5_temp_0.5,1.5,0.5,43,3700,1.0046427,1.5371858,1,1.764577742,0.848892828,0.433146427,0.491256489
38,alpha_1.5_temp_0.5,1.5,0.5,43,3800,0.99358076,1.5463153,1,1.76853959,0.849158059,0.435377402,0.501161804
39,alpha_1.5_temp_0.5,1.5,0.5,43,3900,0.9857805,1.5491805,1,1.772365794,0.848425833,0.436097292,0.493519794
