,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
69,alpha_2.0_temp_0.5,2,0.5,45,1800,1.2349856,1.510997,0.979166667,2.227328575,0.899362438,0.665705297,0.684978167
70,alpha_2.0_temp_0.5,2,0.5,45,1900,1.2247214,1.5083437,0.979625,2.234550446,0.899762866,0.669318411,0.702124674
71,alpha_2.0_temp_0.5,2,0.5,45,2000,1.21096,1.5103909,0.999958333,2.242349206,0.897898466,0.672194073,0.712934261
72,alpha_2.0_temp_0.5,2,0.5,45,2100,1.2011989,1.5017922,0.97925,2.231981958,0.896809655,0.66813149,0.698767048
73,alpha_2.0_temp_0.5,2,0.5,45,2200,1.1896302,1.5014362,0.979666667,2.224293328,0.893069828,0.66614749,0.69402416
74,alpha_2.0_temp_0.5,2,0.5,45,2300,1.1813239,1.5006714,0.980708333,2.223437303,0.892383748,0.665314594,0.701455247
75,alpha_2.0_temp_0.5,2,0.5,45,2400,1.1699071,1.4972919,0.992291667,2.223279981,0.893523598,0.667399416,0.703511236
76,alpha_2.0_temp_0.5,2,0.5,45,2500,1.159971,1.5037391,0.98075,2.218912157,0.891623312,0.667188468,0.694880339
77,alpha_2.0_temp_0.5,2,0.5,45,2600,1.1507721,1.4985535,0.97975,2.214304726,0.88963758,0.666733696,0.697414771
78,alpha_2.0_temp_0.5,2,0.5,45,2700,1.1390784,1.5019363,0.97975,2.212465283,0.889886897,0.664412418,0.693568101
79,alpha_2.0_temp_0.5,2,0.5,45,2800,1.1309553,1.4947526,0.980291667,2.207063583,0.887126427,0.660705505,0.690405969
80,alpha_2.0_temp_0.5,2,0.5,45,2900,1.1227124,1.4996687,0.982458333,2.220798528,0.889692441,0.669338006,0.702863338
81,alpha_2.0_temp_0.5,2,0.5,45,3000,1.1132654,1.4957442,0.980583333,2.204930159,0.884731065,0.664526708,0.686940178
82,alpha_2.0_temp_0.5,2,0.5,45,3100,1.103478,1.498568,0.985875,2.195797987,0.885223676,0.661496511,0.688432243
83,alpha_2.0_temp_0.5,2,0.5,45,3200,1.0947522,1.5068983,0.981666667,2.193190527,0.883748948,0.659379153,0.684473451
84,alpha_2.0_temp_0.5,2,0.5,45,3300,1.0869707,1.5028498,0.986375,2.196718217,0.884806578,0.662151074,0.690062755
85,alpha_2.0_temp_0.5,2,0.5,45,3400,1.0775095,1.5119575,0.980041667,2.192957819,0.88113192,0.663612287,0.689498787
86,alpha_2.0_temp_0.5,2,0.5,45,3500,1.0673225,1.5175798,0.979166667,2.189474269,0.882615519,0.663519696,0.685506653
87,alpha_2.0_temp_0.5,2,0.5,45,3600,1.0606465,1.5212615,0.979166667,2.187910283,0.881317899,0.664355919,0.689180587
88,alpha_2.0_temp_0.5,2,0.5,45,3700,1.0520468,1.5242656,0.979166667,2.192576672,0.882098655,0.662126486,0.695805498
89,alpha_2.0_temp_0.5,2,0.5,45,3800,1.0436842,1.5328014,0.979166667,2.188361509,0.880285416,0.664059618,0.689605843
90,alpha_2.0_temp_0.5,2,0.5,45,3900,1.0348743,1.5250156,0.979166667,2.175082719,0.878407648,0.656745791,0.67407496
