Column1,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
32,alpha_2.5_temp_0.5,2.5,0.5,43,3200,1.0935278,1.5127195,1,2.527098329,0.946395846,0.755976369,0.781089338
33,alpha_2.5_temp_0.5,2.5,0.5,43,3300,1.0871596,1.5074025,1,2.532722362,0.942696539,0.754614402,0.785234372
34,alpha_2.5_temp_0.5,2.5,0.5,43,3400,1.077344,1.5082175,1,2.5345343,0.945237261,0.755569986,0.794578163
35,alpha_2.5_temp_0.5,2.5,0.5,43,3500,1.0678135,1.5188233,1,2.549350751,0.946903473,0.761625303,0.799281962
36,alpha_2.5_temp_0.5,2.5,0.5,43,3600,1.0615524,1.5147845,1,2.51380969,0.943289278,0.750365414,0.77001928
37,alpha_2.5_temp_0.5,2.5,0.5,43,3700,1.0498371,1.5306821,1,2.532185037,0.943285252,0.75574661,0.790622653
38,alpha_2.5_temp_0.5,2.5,0.5,43,3800,1.0427072,1.5280118,1,2.540090563,0.939348339,0.758248834,0.789207331
39,alpha_2.5_temp_0.5,2.5,0.5,43,3900,1.0351592,1.5344043,1,2.54904187,0.941266682,0.762614506,0.792053667
40,alpha_2.5_temp_0.5,2.5,0.5,43,4000,1.0268315,1.5350838,1,2.543632921,0.940871815,0.758117606,0.791850959
41,alpha_2.5_temp_0.5,2.5,0.5,43,4100,1.0175632,1.5368981,1,2.54256859,0.939237481,0.760576743,0.790521278
42,alpha_2.5_temp_0.5,2.5,0.5,43,4200,1.0097928,1.5363079,1,2.564831798,0.943843202,0.76530718,0.805196949
43,alpha_2.5_temp_0.5,2.5,0.5,43,4300,1.0033772,1.5438328,1,2.545053775,0.944048902,0.762255858,0.79595395
44,alpha_2.5_temp_0.5,2.5,0.5,43,4400,0.9931519,1.5504076,1,2.544979169,0.942489902,0.76185949,0.785396492
45,alpha_2.5_temp_0.5,2.5,0.5,43,4500,0.9845172,1.5573097,1,2.536179758,0.943389384,0.758282646,0.800613976
46,alpha_2.5_temp_0.5,2.5,0.5,43,4600,0.9746025,1.5546621,1,2.54545626,0.939217107,0.761523568,0.787938067
47,alpha_2.5_temp_0.5,2.5,0.5,43,4700,0.9662039,1.5679477,1,2.538790717,0.940466926,0.759362636,0.794127482
48,alpha_2.5_temp_0.5,2.5,0.5,43,4800,0.9618351,1.574196,1,2.534367701,0.941565033,0.756832301,0.790370003
49,alpha_2.5_temp_0.5,2.5,0.5,43,4900,0.95340765,1.5718627,1,2.538647692,0.93842207,0.759271057,0.792414149
50,alpha_2.5_temp_0.5,2.5,0.5,43,4999,0.94305825,1.5865735,1,2.542559284,0.938611699,0.761363064,0.796287071
51,alpha_2.5_temp_0.5,2.5,0.5,44,0,4.291215,4.2923665,1,1.61063643,0.82037932,0.304583545,0.376437804
52,alpha_2.5_temp_0.5,2.5,0.5,44,100,2.4455814,2.4602072,0.988625,2.115160662,0.978700711,0.579624902,0.610370987
53,alpha_2.5_temp_0.5,2.5,0.5,44,200,2.2190812,2.2537827,1,2.14187928,0.978955351,0.594718503,0.621265599
54,alpha_2.5_temp_0.5,2.5,0.5,44,300,1.9905713,2.0730197,1,2.086262693,0.983763002,0.591813397,0.605704297
55,alpha_2.5_temp_0.5,2.5,0.5,44,400,1.7960154,1.9216574,1,2.111722295,0.986197359,0.596702384,0.605853982
56,alpha_2.5_temp_0.5,2.5,0.5,44,500,1.6621008,1.8240889,1,2.103072102,0.988373079,0.594526202,0.604524256
57,alpha_2.5_temp_0.5,2.5,0.5,44,600,1.5694393,1.7573028,1,2.118143204,0.989445645,0.600063066,0.606971426
58,alpha_2.5_temp_0.5,2.5,0.5,44,700,1.5053276,1.701897,1,2.118828267,0.988448267,0.596947871,0.604936916
59,alpha_2.5_temp_0.5,2.5,0.5,44,800,1.4612038,1.6595911,1,2.121228924,0.987917704,0.596447756,0.605904794
60,alpha_2.5_temp_0.5,2.5,0.5,44,900,1.4201481,1.6230488,1,2.128703706,0.987267518,0.600090377,0.605377901
61,alpha_2.5_temp_0.5,2.5,0.5,44,1000,1.3898537,1.5954045,1,2.140199679,0.986745618,0.601159142,0.606725245
62,alpha_2.5_temp_0.5,2.5,0.5,44,1100,1.3661733,1.5755012,1,2.133730465,0.987371043,0.599459647,0.60687508
63,alpha_2.5_temp_0.5,2.5,0.5,44,1200,1.3447767,1.5708761,1,2.15354064,0.986306244,0.606721632,0.610640441
64,alpha_2.5_temp_0.5,2.5,0.5,44,1300,1.3234507,1.554417,1,2.168525106,0.98404854,0.611100584,0.613186107
65,alpha_2.5_temp_0.5,2.5,0.5,44,1400,1.3046863,1.5370215,1,2.161610529,0.985163791,0.608893666,0.609976674
66,alpha_2.5_temp_0.5,2.5,0.5,44,1500,1.2902321,1.52547,1,2.17110221,0.98406663,0.615060795,0.616946114
67,alpha_2.5_temp_0.5,2.5,0.5,44,1600,1.2749084,1.5274419,1,2.192451133,0.981943182,0.619617977,0.617692572
68,alpha_2.5_temp_0.5,2.5,0.5,44,1700,1.2618718,1.5186388,1,2.200282614,0.979311108,0.621715076,0.62007049
69,alpha_2.5_temp_0.5,2.5,0.5,44,1800,1.248363,1.516904,1,2.197960073,0.978416142,0.620457498,0.615568191
